,Year,Month,Day,State,Latitude,Longitude,Suburb
2945,2001,9,28,Queensland,-25.123219,149.156459,Glenhaughton
2946,1999,3,23,Queensland,-26.040272,151.620186,Wigton
2947,2012,12,25,Queensland,-27.645734,152.184675,Ma Ma Creek
2948,1993,4,1,Queensland,-11.615999,142.809452,Shelburne
2949,2012,10,15,Queensland,-27.05811,153.178431,Woorim
2950,1994,1,5,Queensland,-27.440071,152.9594,Enoggera
2951,1998,10,26,Queensland,-28.23369,152.485208,The Head
2952,2002,8,24,Queensland,-25.300444,148.537086,Upper Dawson
2953,1973,1,1,Queensland,-27.465,152.984444,Bardon
2954,1995,7,2,Queensland,-25.885565,152.630677,Bauple Forest
2955,2011,3,11,Queensland,-25.483506,149.640237,Broadmere
2956,2001,3,3,Queensland,-18.130556,144.3375,Mount Surprise
2957,2017,11,24,Queensland,-16.285734,145.08928,Mount Carbine
2958,1955,1,1,Queensland,-26.948333,152.567778,Kilcoy
2959,1999,9,6,Queensland,-26.711274,152.620034,Kenilworth
2960,2001,6,10,Queensland,-24.606867,152.072176,Mullett Creek
2961,1993,11,10,Queensland,-26.773409,152.626067,Jimna
2962,1996,2,14,Queensland,-25.883449,152.619014,Bauple Forest
2963,2013,2,12,Queensland,-27.055558,153.175463,Woorim
2964,1997,12,8,Queensland,-28.173028,153.076863,Kerry
2965,1977,11,17,Queensland,-18.644034,145.863421,Wallaman
2966,2014,9,8,Queensland,-16.576199,144.917926,Mount Carbine
2967,1979,1,1,Queensland,-16.848333,145.601111,Kuranda
2968,1973,1,1,Queensland,-28.215,153.184444,Binna Burra (Qld)
2969,1995,7,2,Queensland,-25.882864,152.63361,Bauple Forest
2970,1996,2,12,Queensland,-22.981769,148.651095,Mackenzie River
2971,2018,3,14,Queensland,-24.340122,150.945689,Tablelands (Gladstone - Qld)
2972,2001,11,5,Queensland,-19.10693,146.50443,Clemant
2973,2004,1,12,Queensland,-28.124488,153.23433,Numinbah Valley
2974,2019,6,20,Queensland,-20.644194,147.143898,Ravenswood (Qld)
