,Year,Month,Day,State,Latitude,Longitude,postcode,state_code,Suburb,combined_location
13172,2016,10,14,Northern Territory,-12.913217,132.64286,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
13173,2014,10,8,Northern Territory,-13.917211,130.792403,822,Northern Territory,Tipperary,"Tipperary, 822, Northern Territory"
13174,2013,6,13,Northern Territory,-12.44058,132.97035,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
13175,2022,5,9,Northern Territory,-14.95419,133.13693,852,Northern Territory,Elsey,"Elsey, 852, Northern Territory"
13176,2017,7,7,Northern Territory,-16.87857,137.82202,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
13177,2019,2,5,Northern Territory,-12.790817,130.968715,841,Northern Territory,Darwin River,"Darwin River, 841, Northern Territory"
13178,2013,7,11,Northern Territory,-16.67697,137.57627,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
13179,2007,5,31,Northern Territory,-13.654792,131.116975,822,Northern Territory,Tipperary,"Tipperary, 822, Northern Territory"
13180,2017,5,4,Northern Territory,-14.30759,132.39864,852,Northern Territory,Nitmiluk,"Nitmiluk, 852, Northern Territory"
13181,2016,10,20,Northern Territory,-12.888615,132.890735,822,Northern Territory,Kakadu,"Kakadu, 822, Northern Territory"
13182,2010,11,2,Northern Territory,-12.60685,130.99193,822,Northern Territory,Weddell,"Weddell, 822, Northern Territory"
13183,2009,1,8,Northern Territory,-12.53946,131.12256,836,Northern Territory,Herbert,"Herbert, 836, Northern Territory"
13184,2017,7,11,Northern Territory,-16.87857,137.82202,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
13185,2014,9,25,Northern Territory,-13.917211,130.792403,822,Northern Territory,Tipperary,"Tipperary, 822, Northern Territory"
13186,2018,12,20,Northern Territory,-12.44825,131.18607,822,Northern Territory,Koolpinyah,"Koolpinyah, 822, Northern Territory"
13187,2012,7,11,Northern Territory,-16.23279,137.71063,862,Northern Territory,Calvert,"Calvert, 862, Northern Territory"
13188,2022,4,4,Northern Territory,-15.35543,132.885961,852,Northern Territory,Sturt Plateau,"Sturt Plateau, 852, Northern Territory"
13189,2014,8,9,Northern Territory,-14.256824,134.506059,852,Northern Territory,Flying Fox,"Flying Fox, 852, Northern Territory"
